       Wavelength             Transmission
2.361275999999999708e+00 7.037079420611439678e-03
2.363633000000000095e+00 7.119866420611440511e-03
2.365994000000000153e+00 7.052881920611439939e-03
2.368355999999999906e+00 7.106130420611440207e-03
2.370721000000000078e+00 7.053690920611439992e-03
2.373088000000000086e+00 7.112417420611439993e-03
2.375458000000000069e+00 7.146157920611439715e-03
2.377829999999999888e+00 7.016838920611440447e-03
2.380203999999999986e+00 7.068130420611440368e-03
2.382581000000000060e+00 6.994925420611439702e-03
2.384960000000000413e+00 7.086412920611439778e-03
2.387341999999999853e+00 7.062901920611440280e-03
2.389724999999999877e+00 6.977108420611439869e-03
2.392112000000000016e+00 7.044352920611439764e-03
2.394500000000000295e+00 7.069346420611440432e-03
2.396890999999999661e+00 7.010263920611440464e-03
2.399284999999999890e+00 7.059179920611440007e-03
2.401680000000000259e+00 6.946575420611440614e-03
2.404078999999999855e+00 6.982118920611440210e-03
2.406478999999999591e+00 7.048013420611440316e-03
2.408881999999999746e+00 7.091921420611439937e-03
2.411286999999999736e+00 7.114315420611440170e-03
2.413695000000000146e+00 6.946994920611440118e-03
2.416104999999999947e+00 7.027747920611440366e-03
2.418517999999999724e+00 7.010370420611439918e-03
2.420932999999999780e+00 7.024274420611440264e-03
2.423349999999999671e+00 7.094479920611440268e-03
2.425769999999999982e+00 7.001113420611439556e-03
2.428192000000000128e+00 6.985432420611440395e-03
2.430616999999999805e+00 7.070552420611440556e-03
2.433044000000000207e+00 7.119110920611440053e-03
2.435472999999999999e+00 7.060222420611440321e-03
2.437904999999999767e+00 7.002986420611439881e-03
2.440339999999999954e+00 6.969780920611439584e-03
2.442775999999999836e+00 7.002917920611440375e-03
2.445215999999999834e+00 6.936671420611439931e-03
2.447656999999999972e+00 7.021750420611439988e-03
2.450101000000000084e+00 6.968758920611439756e-03
2.452547999999999728e+00 6.979351420611439732e-03
2.454997000000000096e+00 7.088466920611440243e-03
2.457447999999999855e+00 6.969608420611440175e-03
2.459902000000000033e+00 6.981890420611439919e-03
2.462358000000000047e+00 7.006147920611440275e-03
2.464817000000000036e+00 6.952714420611440238e-03
2.467277999999999860e+00 6.998189420611439920e-03
2.469742000000000104e+00 7.095017920611439849e-03
2.472208000000000183e+00 7.018951920611440215e-03
2.474677000000000238e+00 6.967494920611439803e-03
2.477148000000000128e+00 6.990390420611440614e-03
2.479620999999999853e+00 6.947974420611440632e-03
2.482096999999999998e+00 6.987512920611439922e-03
2.484576000000000118e+00 6.953939920611440506e-03
2.487057000000000073e+00 7.020581420611439472e-03
2.489539999999999864e+00 7.167253920611440544e-03
2.492026000000000074e+00 6.988191920611439879e-03
2.494514000000000120e+00 6.963510920611440391e-03
2.497004999999999697e+00 6.967790420611440390e-03
2.499499000000000137e+00 6.936430420611440148e-03
2.501994999999999969e+00 6.959878920611440450e-03
2.504493000000000080e+00 6.976698420611439702e-03
2.506994000000000167e+00 6.945181920611440303e-03
2.509497000000000089e+00 6.950763420611440202e-03
2.512002999999999986e+00 7.244954920611440009e-03
2.514510999999999719e+00 7.034629420611440351e-03
2.517021999999999871e+00 7.084158920611440501e-03
2.519535000000000302e+00 6.940416920611439978e-03
2.522051000000000265e+00 6.979674420611439722e-03
2.524569999999999759e+00 6.939874420611440164e-03
2.527090000000000281e+00 6.976938920611439748e-03
2.529614000000000029e+00 7.013327920611440135e-03
2.532140000000000057e+00 7.009706920611440475e-03
2.534667999999999921e+00 6.948319420611440318e-03
2.537198999999999760e+00 6.945447420611440201e-03
2.539733000000000018e+00 6.922831920611440329e-03
2.542269000000000112e+00 6.970887420611440038e-03
2.544807000000000041e+00 6.979301420611440029e-03
2.547347999999999946e+00 6.972106420611440258e-03
2.549892000000000269e+00 7.066784920611439945e-03
2.552437999999999985e+00 6.982684920611440665e-03
2.554987000000000119e+00 6.963513920611440547e-03
2.557537999999999645e+00 6.995427920611439754e-03
2.560092000000000034e+00 7.321386420611440682e-03
2.562647999999999815e+00 7.037160920611440149e-03
2.565207000000000015e+00 7.098454420611440344e-03
2.567769000000000190e+00 7.016312420611440018e-03
2.570333000000000201e+00 6.921434920611440125e-03
2.572899000000000047e+00 6.987942420611440233e-03
2.575468000000000313e+00 6.946931420611440582e-03
2.578040000000000109e+00 6.958566920611440609e-03
2.580613999999999741e+00 6.980579420611440419e-03
2.583191000000000237e+00 6.990270920611440196e-03
2.585769999999999680e+00 6.948201420611439978e-03
2.588351999999999986e+00 7.162934920611440520e-03
2.590936999999999824e+00 6.965968920611439845e-03
2.593523999999999941e+00 6.979879920611439977e-03
2.596114000000000033e+00 6.956555920611440062e-03
2.598705999999999960e+00 6.980070420611439452e-03
2.601300999999999863e+00 6.977151420611439787e-03
2.603898999999999742e+00 6.989860920611440029e-03
2.606499000000000343e+00 7.028872920611439756e-03
2.609100999999999893e+00 6.970580920611440037e-03
2.611707000000000001e+00 6.980847420611439869e-03
2.614314999999999944e+00 7.021402920611439884e-03
2.616924999999999724e+00 7.100736920611440232e-03
2.619537999999999922e+00 6.968718920611439993e-03
2.622154000000000096e+00 6.924502420611439689e-03
2.624772000000000105e+00 7.027272920611440585e-03
2.627393000000000089e+00 6.985736420611439977e-03
2.630017000000000049e+00 6.985962420611439849e-03
2.632643000000000288e+00 6.952668420611440164e-03
2.635272000000000059e+00 6.928422920611440432e-03
2.637903000000000109e+00 6.958315920611440018e-03
2.640537000000000134e+00 7.188602920611440045e-03
2.643174000000000134e+00 7.038527920611440530e-03
2.645812999999999970e+00 7.077306420611439997e-03
2.648454999999999782e+00 6.922570420611440060e-03
2.651100000000000012e+00 6.946079920611440348e-03
2.653747000000000078e+00 6.946240420611440002e-03
2.656396999999999675e+00 7.003923920611439952e-03
2.659048999999999996e+00 6.960387920611440550e-03
2.661703999999999848e+00 6.984219920611440223e-03
2.664362000000000119e+00 6.979132920611440249e-03
2.667022999999999922e+00 7.038514920611440434e-03
2.669686000000000003e+00 6.994401420611440559e-03
2.672351000000000365e+00 6.994378420611440522e-03
2.675019999999999953e+00 6.961957920611440767e-03
2.677691000000000265e+00 7.001761920611439954e-03
2.680364999999999664e+00 6.951431420611440745e-03
2.683041000000000231e+00 6.995642920611440212e-03
2.685719999999999885e+00 7.080467920611440390e-03
2.688401999999999958e+00 6.957422420611440207e-03
2.691087000000000007e+00 7.046082920611439898e-03
2.693773999999999891e+00 7.100699420611440021e-03
2.696464000000000194e+00 6.990811920611440800e-03
2.699155999999999889e+00 7.069756920611440336e-03
2.701851000000000003e+00 6.944980420611440546e-03
2.704549000000000092e+00 6.939583920611440415e-03
2.707250000000000156e+00 7.011829920611440184e-03
2.709953000000000056e+00 6.970863920611440265e-03
2.712658999999999931e+00 6.993309920611440016e-03
2.715367999999999782e+00 6.952723920611440442e-03
2.718078999999999912e+00 6.940295920611440350e-03
2.720793000000000017e+00 7.012706420611440269e-03
2.723510000000000097e+00 6.974924420611440176e-03
2.726229999999999709e+00 6.971266920611439780e-03
2.728952000000000044e+00 7.025606420611439987e-03
2.731676999999999911e+00 6.994371420611439870e-03
2.734404999999999752e+00 6.973518420611440373e-03
2.737134999999999874e+00 6.944062920611440357e-03
2.739868000000000414e+00 6.998874420611440189e-03
2.742604000000000042e+00 6.950655920611440407e-03
2.745343000000000089e+00 7.010495920611439780e-03
2.748083999999999971e+00 6.973202420611440168e-03
2.750827999999999829e+00 6.959800920611439873e-03
2.753575000000000106e+00 6.970422920611439935e-03
2.756324000000000218e+00 6.930518920611440474e-03
2.759077000000000002e+00 6.926783420611440367e-03
2.761832000000000065e+00 6.961116420611439606e-03
2.764588999999999963e+00 6.935783920611440431e-03
2.767349999999999977e+00 6.962727920611439664e-03
2.770113000000000270e+00 7.022282420611440125e-03
2.772878999999999650e+00 6.974505920611440146e-03
2.775647999999999893e+00 6.956763920611439868e-03
2.778420000000000112e+00 7.024175420611440332e-03
2.781194000000000166e+00 7.067916420611440251e-03
2.783971000000000195e+00 6.950132920611439870e-03
2.786750999999999756e+00 6.970341920611440069e-03
2.789533999999999736e+00 6.975757920611440344e-03
2.792318999999999996e+00 6.965891920611439608e-03
2.795107000000000230e+00 6.935327920611440190e-03
2.797897999999999996e+00 7.026065920611440120e-03
2.800691999999999737e+00 7.075761920611440235e-03
2.803488999999999898e+00 7.005710920611440441e-03
2.806287999999999894e+00 7.060042920611440259e-03
