       Wavelength             Transmission
1.086246000000000045e+00 6.442991000000000343e-03
1.087331000000000047e+00 6.542936999999999538e-03
1.088416000000000050e+00 6.422668999999999774e-03
1.089502999999999888e+00 6.669540000000000711e-03
1.090590999999999866e+00 6.284141000000000032e-03
1.091679999999999984e+00 7.022519000000000504e-03
1.092770000000000019e+00 7.034631999999999864e-03
1.093860999999999972e+00 6.714354999999999976e-03
1.094954000000000205e+00 6.783322000000000483e-03
1.096046999999999993e+00 6.877221000000000202e-03
1.097140999999999922e+00 6.579078999999999830e-03
1.098237000000000130e+00 6.529476999999999677e-03
1.099334000000000033e+00 6.454381000000000354e-03
1.100431000000000159e+00 6.671884999999998928e-03
1.101529999999999898e+00 6.820097000000000659e-03
1.102629999999999999e+00 7.203461000000000412e-03
1.103731000000000018e+00 6.327618000000000131e-03
1.104832999999999954e+00 7.164758000000000238e-03
1.105936000000000030e+00 7.246327999999999797e-03
1.107040999999999942e+00 6.410434000000000444e-03
1.108146000000000075e+00 6.632701999999999869e-03
1.109253000000000045e+00 6.552343000000000403e-03
1.110360000000000014e+00 7.115767999999999746e-03
1.111469000000000040e+00 6.833827000000000651e-03
1.112578999999999985e+00 6.864088000000000828e-03
1.113690000000000069e+00 6.536252999999999681e-03
1.114801999999999849e+00 7.596060999999999439e-03
1.115914999999999990e+00 6.754289000000000126e-03
1.117029000000000050e+00 7.213981000000000386e-03
1.118144999999999945e+00 6.955043999999999636e-03
1.119261000000000061e+00 6.891178999999999014e-03
1.120379000000000014e+00 7.893833000000001140e-03
1.121497999999999884e+00 6.646520000000000379e-03
1.122617999999999894e+00 7.370571999999999714e-03
1.123739000000000043e+00 6.599837999999999365e-03
1.124861000000000111e+00 6.892935999999999681e-03
1.125984000000000096e+00 6.511356000000000262e-03
1.127107999999999999e+00 6.952108000000000246e-03
1.128233999999999959e+00 7.407983999999999403e-03
1.129360000000000142e+00 7.528008000000000963e-03
1.130487999999999937e+00 6.551240000000000709e-03
1.131616999999999873e+00 6.965157999999999940e-03
1.132746999999999948e+00 6.460762000000000102e-03
1.133878000000000164e+00 6.816360999999999948e-03
1.135010000000000074e+00 6.591200000000001051e-03
1.136142999999999903e+00 6.569435000000000205e-03
1.137278000000000011e+00 6.744304000000000444e-03
1.138412999999999897e+00 6.703189999999999496e-03
1.139550000000000063e+00 7.283458999999999940e-03
1.140687999999999924e+00 6.475075999999999748e-03
1.141826999999999925e+00 6.758629999999999846e-03
1.142967000000000066e+00 6.883249000000000138e-03
1.144109000000000043e+00 7.591709999999999778e-03
1.145251000000000019e+00 6.536590000000000109e-03
1.146395000000000053e+00 7.114091000000000338e-03
1.147539000000000087e+00 6.966309000000000390e-03
1.148684999999999956e+00 6.985747000000000484e-03
1.149831999999999965e+00 6.974835999999999883e-03
1.150979999999999892e+00 6.878874000000000967e-03
1.152129999999999876e+00 6.833460000000000402e-03
1.153279999999999861e+00 7.113188999999999797e-03
1.154431999999999903e+00 6.893234999999999293e-03
1.155583999999999945e+00 7.117840000000000278e-03
1.156738000000000044e+00 6.624617999999999653e-03
1.157893000000000061e+00 7.000404999999999475e-03
1.159049999999999914e+00 6.537101999999999496e-03
1.160206999999999988e+00 6.512145999999999907e-03
1.161365000000000203e+00 6.726560000000000351e-03
1.162525000000000031e+00 7.993972000000000230e-03
1.163685999999999998e+00 7.692069999999999637e-03
1.164847999999999884e+00 7.241547999999999562e-03
1.166011000000000131e+00 6.928674000000000117e-03
1.167175000000000074e+00 7.190676999999999486e-03
1.168341000000000074e+00 7.858032999999998644e-03
1.169507000000000074e+00 7.737342000000000351e-03
1.170674999999999910e+00 7.065684000000000027e-03
1.171844000000000108e+00 6.551002999999999687e-03
1.173014000000000001e+00 6.618241000000000401e-03
1.174185999999999952e+00 6.955681999999999490e-03
1.175357999999999903e+00 6.643580999999999098e-03
1.176531999999999911e+00 6.801790999999999740e-03
1.177706999999999837e+00 6.745722000000000003e-03
1.178881999999999985e+00 7.115044000000000923e-03
1.180060000000000109e+00 7.222357999999999903e-03
1.181238000000000010e+00 6.706564999999999402e-03
1.182416999999999829e+00 7.585720999999999263e-03
1.183597999999999928e+00 6.690118000000000106e-03
1.184779999999999944e+00 6.770713999999999726e-03
1.185963000000000100e+00 7.368029000000000765e-03
1.187146999999999952e+00 6.630456999999999324e-03
1.188333000000000084e+00 6.559418000000000887e-03
1.189519000000000215e+00 6.892111999999999718e-03
1.190707000000000182e+00 6.851863000000000571e-03
1.191896000000000067e+00 6.762987999999999292e-03
1.193086000000000091e+00 6.588819999999999573e-03
1.194277999999999951e+00 6.666087000000000228e-03
1.195470000000000033e+00 6.430169999999998942e-03
1.196663999999999950e+00 6.527269999999999947e-03
1.197859000000000007e+00 6.479668000000000060e-03
1.199054999999999982e+00 6.774165000000000394e-03
1.200251999999999875e+00 6.447220999999999508e-03
1.201451000000000047e+00 6.478161999999999116e-03
1.202649999999999997e+00 6.719975000000000427e-03
1.203851000000000004e+00 6.460591000000000771e-03
1.205053000000000152e+00 6.559488999999999945e-03
1.206257000000000135e+00 6.624305999999999944e-03
1.207461000000000118e+00 6.579874999999998919e-03
1.208666999999999936e+00 6.883048000000000985e-03
1.209873999999999894e+00 6.959355000000000402e-03
1.211081999999999992e+00 6.423027000000000424e-03
1.212291000000000007e+00 6.720620000000000933e-03
1.213501999999999859e+00 6.664109000000000525e-03
1.214712999999999932e+00 6.338523999999999027e-03
1.215926000000000062e+00 6.476777000000000402e-03
1.217140000000000111e+00 6.382235000000000859e-03
1.218355999999999995e+00 6.778245000000000450e-03
1.219572000000000100e+00 6.355481999999999972e-03
1.220790000000000042e+00 6.851982999999999858e-03
1.222008999999999901e+00 6.411776000000000107e-03
1.223228999999999900e+00 6.455303999999999383e-03
1.224450999999999956e+00 6.546945999999999669e-03
1.225673000000000012e+00 7.059332000000000627e-03
1.226896999999999904e+00 6.344883999999999420e-03
1.228121999999999936e+00 6.316133000000000684e-03
1.229348999999999803e+00 6.661133999999999979e-03
1.230576000000000114e+00 6.631922000000000164e-03
